state,date,ML,Low_90,High_90,Low_50,High_50
Romania_CODE,2020-09-28,1.19,0.91,1.43,1.03,1.25
Romania_CODE,2020-09-29,1.48,1.2,1.71,1.35,1.56
Romania_CODE,2020-09-30,1.59,1.32,1.81,1.47,1.67
Romania_CODE,2020-10-01,1.48,1.23,1.7,1.34,1.54
Romania_CODE,2020-10-02,1.22,0.9500000000000001,1.42,1.11,1.3
Romania_CODE,2020-10-03,1.01,0.75,1.22,0.9,1.09
Romania_CODE,2020-10-04,1.02,0.76,1.23,0.92,1.11
Romania_CODE,2020-10-05,1.3,1.05,1.51,1.18,1.37
Romania_CODE,2020-10-06,1.58,1.35,1.79,1.48,1.6600000000000001
Romania_CODE,2020-10-07,1.8,1.57,1.99,1.6600000000000001,1.84
Romania_CODE,2020-10-08,1.67,1.46,1.86,1.55,1.72
Romania_CODE,2020-10-09,1.32,1.12,1.51,1.23,1.3900000000000001
Romania_CODE,2020-10-10,1.06,0.86,1.25,0.97,1.1300000000000001
Romania_CODE,2020-10-11,0.99,0.79,1.18,0.9,1.06
Romania_CODE,2020-10-12,1.1300000000000001,0.92,1.31,1.04,1.2
Romania_CODE,2020-10-13,1.37,1.17,1.55,1.26,1.42
Romania_CODE,2020-10-14,1.48,1.28,1.6500000000000001,1.4000000000000001,1.55
Romania_CODE,2020-10-15,1.47,1.27,1.6300000000000001,1.37,1.52
Romania_CODE,2020-10-16,1.17,0.97,1.33,1.07,1.22
Romania_CODE,2020-10-17,0.89,0.6900000000000001,1.05,0.78,0.93
Romania_CODE,2020-10-18,0.86,0.67,1.03,0.77,0.92
Romania_CODE,2020-10-19,1.06,0.86,1.22,0.96,1.11
Romania_CODE,2020-10-20,1.34,1.16,1.51,1.24,1.3900000000000001
Romania_CODE,2020-10-21,1.51,1.32,1.6600000000000001,1.42,1.56
Romania_CODE,2020-10-22,1.3900000000000001,1.21,1.54,1.29,1.43
Romania_CODE,2020-10-23,1.11,0.93,1.26,1.01,1.1500000000000001
Romania_CODE,2020-10-24,0.87,0.7000000000000001,1.03,0.77,0.91
Romania_CODE,2020-10-25,0.8,0.61,0.9500000000000001,0.71,0.85
Romania_CODE,2020-10-26,1.1300000000000001,0.93,1.27,1.03,1.17
Romania_CODE,2020-10-27,1.5,1.33,1.6500000000000001,1.3900000000000001,1.53
Romania_CODE,2020-10-28,1.6400000000000001,1.47,1.78,1.55,1.68
Romania_CODE,2020-10-29,1.55,1.3800000000000001,1.68,1.45,1.58
Romania_CODE,2020-10-30,1.21,1.04,1.34,1.1400000000000001,1.26
Romania_CODE,2020-10-31,1.06,0.91,1.2,0.99,1.11
Romania_CODE,2020-11-01,1.17,1.01,1.3,1.09,1.21
Romania_CODE,2020-11-02,1.48,1.32,1.6,1.3900000000000001,1.51
Romania_CODE,2020-11-03,1.8,1.6400000000000001,1.9100000000000001,1.73,1.84
Romania_CODE,2020-11-04,1.87,1.73,1.98,1.78,1.8900000000000001
Romania_CODE,2020-11-05,1.55,1.42,1.6600000000000001,1.48,1.58
Romania_CODE,2020-11-06,1.01,0.88,1.12,0.9500000000000001,1.05
Romania_CODE,2020-11-07,0.58,0.44,0.6900000000000001,0.49,0.6
Romania_CODE,2020-11-08,0.5,0.36,0.62,0.42,0.53
Romania_CODE,2020-11-09,0.76,0.62,0.88,0.68,0.79
Romania_CODE,2020-11-10,1.2,1.05,1.31,1.12,1.23
Romania_CODE,2020-11-11,1.52,1.3800000000000001,1.6300000000000001,1.43,1.54
Romania_CODE,2020-11-12,1.45,1.32,1.56,1.3800000000000001,1.48
Romania_CODE,2020-11-13,1.08,0.9500000000000001,1.19,1.01,1.11
Romania_CODE,2020-11-14,0.6900000000000001,0.55,0.8,0.63,0.73
Romania_CODE,2020-11-15,0.65,0.52,0.77,0.5700000000000001,0.68
Romania_CODE,2020-11-16,0.91,0.76,1.02,0.8300000000000001,0.9400000000000001
Romania_CODE,2020-11-17,1.24,1.1,1.35,1.1500000000000001,1.26
Romania_CODE,2020-11-18,1.41,1.28,1.52,1.34,1.44
Romania_CODE,2020-11-19,1.21,1.08,1.32,1.1400000000000001,1.24
